名称,介绍,详情
三一重工 HSC130 C1 130桶混砂车,HSC130 C1130桶混砂车具有功率充足，排量稳定，计量准确，适应性强，双屏控制，触控蝶阀，智能控制，安全无忧的产品特点。,"
品牌:
三一重工
类别:
油田专用车
型号:
HSC130 C1
报价:
暂无
"
三一重工 SY系列 液压驱动 压裂泵,SY系列 液压驱动压裂泵采用SANY独有设计，全液压驱动，无档位限制，模块话设计，结构紧凑；,"
品牌:
三一重工
类别:
油田专用设备
型号:
SY系列 液压驱动
报价:
暂无
"
三一重工 YBC24 C1 4x4智慧型仪表车,"YBC24 C14x4智慧型仪表车四大功能:泵控、数采、视频监控、混砂监控,压裂作业现场，集中控制，指挥。","
品牌:
三一重工
类别:
油田专用车
型号:
YBC24 C1
报价:
暂无
"
三一重工 SY系列 机械驱动 压裂泵,SY系列 机械驱动压裂泵性能更稳定、可靠、可与市场其他厂家产品互换，结构紧凑，节省车台空间，重量更轻，整体性刚性好。,"
品牌:
三一重工
类别:
油田专用设备
型号:
SY系列 机械驱动
报价:
暂无
"
三一重工 SPM180 抽油机检修车,"SPM180 抽油机检修车专注于抽油机的检修、维护工作，适用于曲柄调冲程作业,减速机检查、更换齿轮油，中尾轴承紧固及打黄油;换毛辫子及驴头侧翻作业煤层气开发，解决油井除蜡剂添加,减速机齿轮油更换，大螺母复紧，设备防锈，喷漆以及室外照明等需求。","
品牌:
三一重工
类别:
油田专用车
型号:
SPM180
报价:
暂无
"
三一重工 SLQ100 5000型电驱压裂撬,SLQ1005000型电驱压裂撬超大排量，超大水功率，单橇配置2 台2800HP 五缸泵，最大排量可达3118L/min(4 寸柱塞)，相当于真正意义上的两台2500 型压裂车；,"
品牌:
三一重工
类别:
油田专用设备
型号:
SLQ100
报价:
暂无
"
三一重工 SMT4017 （YJ-3500） 井场多功能机具,SMT4017 （YJ-3500）三一井场多功能机车高效多能，安全可靠，精准智能，舒适易维护。,"
品牌:
三一重工
类别:
油田专用车
型号:
SMT4017 （YJ-3500）
报价:
暂无
"
三一重工 SY系列 高压直管,"SY系列 高压直管 刚性直管是一种两端带有特殊连接形式，如：螺纹、法兰、由壬等连接方式的直管，额定工作压力 70MPa~140MPa, 使用温度等级 -29~ +121℃ ；","
品牌:
三一重工
类别:
油田专用车
型号:
SY系列
报价:
暂无
"
三一重工 SY系列 二层台机械手,SY系列 二层台机械手取代井架工自动排放钻具。实现二层台无人化作业，杜绝安全风险和降低劳动强度 ；,"
品牌:
三一重工
类别:
油田专用车
型号:
SY系列
报价:
暂无
"
三一重工 SYN5330TDB 1000K型液氮泵车,常规石油、煤层气开采； 氮气置换； 管线吹扫； 管线试压； 氮气消防。,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5330TDB
报价:
暂无
"
三一重工 SYN5420TLG 100K连续油管作业机,"SYN5420TLG100K连续油管作业机作业井深大， 2""油管可达6千米以上，可适应1.5""-2.875""多种规格油管作业；","
品牌:
三一重工
类别:
油田专用车
型号:
SYN5420TLG
报价:
暂无
"
三一重工 SYN5330THP 12方混配车,SYN5330THP12方混配车具有进口大排量离心泵，高效混合器确保输出优质混合液；高精度进口粉料计量电子秤、高精度进口电磁流量计、高精度液添质量流量计确保混合液浓度及液添配比；,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5330THP
报价:
暂无
"
三一重工 SYN5142TBC 4×4智慧仪表车,SYN5142TBC4×4智慧仪表车搭载310 马力大功率发动机，动力更加强劲，北奔4×4 国Ⅵ越野底盘，通过性能更好；,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5142TBC
报价:
暂无
"
三一重工 SYN5330THS 130桶混砂车,SYN5330THS 130桶混砂车底盘、台上发动机双取力，功率充足，具有高精度导波雷达液位计，混合罐液面平稳、控制可靠。,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5330THS
报价:
暂无
"
三一重工 SYN5320THS 100桶混砂车,SYN5320THS100桶混砂车底盘、台上发动机双取力，功率充足；高精度导波雷达液位计，混合罐液面平稳、控制可靠；,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5320THS
报价:
暂无
"
三一重工 SYN5391TYL1700 2300型机械式压裂车,SYN5391TYL17002300型机械式压裂车采用三一自制的专用车底盘，8×6驱动，越野性能好；配置的双级减速桥，大大增加了底盘通过性能；,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5391TYL1700
报价:
暂无
"
三一重工 SYN5393TYL1700 2300型机械式压裂车,SYN5393TYL17002300型机械式压裂车采用三一自制的专用车底盘，8×6驱动，越野性能好。配置的双级减速桥，大大增加了底盘通过性能；,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5393TYL1700
报价:
暂无
"
三一重工 SYN5440TYL1860H 2500型液压式压裂车,SYN5440TYL1860H2500型液压式压裂车液压传动排量连续可调、控制精准，无极调速冲击小，传动平稳，根据不同的使用工况，灵活开启合适的发动机台数，实现一机多用；,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5440TYL1860H
报价:
暂无
"
三一重工 SYN5410TYL1860B 2500型机械式压裂车,SYN5442TYL1860C 2500型机械式压裂车采用三一自制的专用车底盘，8×6驱动，越野性能好，配置的双级减速桥，大大增加了底盘通过性能；,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5410TYL1860B
报价:
暂无
"
三一重工 SYN5442TYL1860C 2500型机械式压裂车,SYN5442TYL1860C 2500型机械式压裂车采用三一自制的专用车底盘，8×6驱动，越野性能好，配置的双级减速桥，大大增加了底盘通过性能；,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5442TYL1860C
报价:
暂无
"
三一重工 SYN5331TYL1043 多功能油田专用车,SYN5331TYL1043多功能油田专用车采用液压无极变速，排量连续可调，最低稳定排量100L/min以内，分布式动力可根据实际工况开启不同台数发动机；,"
品牌:
三一重工
类别:
油田专用车
型号:
SYN5331TYL1043
报价:
暂无
"
